"Game","Year","Genre","Publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","log_na_sales","log_eu_sales","log_jp_sales","log_other_sales","log_global_sales"
"Dragon Ball Fighter Z","2018","Fighting","Namco Bandai Games",0.61,0.51,0.12,0.23,1.46,0.476234178996372,0.412109650826833,0.113328685307003,0.207014169384326,0.900161349944271
"South Park: The Fractured But Whole","2017","Role-Playing","Ubisoft",0.62,0.57,0,0.24,1.43,0.482426149244293,0.451075619360217,0,0.215111379616945,0.887891257352457
"The Sims 4","2017","Simulation","Electronic Arts",0.44,0.72,0.01,0.22,1.39,0.364643113587909,0.542324290825362,0.00995033085316809,0.198850858745165,0.871293365943419
"Street Fighter V","2016","Fighting","Capcom",0.64,0.42,0.12,0.22,1.39,0.494696241836107,0.350656871613169,0.113328685307003,0.198850858745165,0.871293365943419
"Wolfenstein II: The New Colossus","2017","Shooter","Bethesda Softworks",0.55,0.58,0.01,0.22,1.36,0.438254930931155,0.457424847038875,0.00995033085316809,0.198850858745165,0.858661619037519
"WWE 2K18","2017","Sports","2K Sports",0.45,0.67,0,0.22,1.33,0.371563556432483,0.512823626428664,0,0.198850858745165,0.845868267577609
"Lego Star Wars: The Force Awakens","2016","Action-Adventure","Warner Bros. Interactive Entertainment",0.3,0.78,0.02,0.2,1.31,0.262364264467491,0.576613364303994,0.0198026272961797,0.182321556793955,0.837247524533702
"EA Sports UFC 2","2016","Sports","EA Sports",0.44,0.65,0,0.21,1.31,0.364643113587909,0.500775287912489,0,0.19062035960865,0.837247524533702
"The Last Guardian","2016","Action-Adventure","Sony Interactive Entertainment",0.4,0.58,0.13,0.19,1.29,0.336472236621213,0.457424847038875,0.122217632724249,0.173953307123438,0.828551817566148
"WWE 2K16","2015","Sports","Take-Two Interactive",0.43,0.65,0,0.21,1.29,0.357674444271816,0.500775287912489,0,0.19062035960865,0.828551817566148
"Borderlands: The Handsome Collection","2015","Shooter","2K Games",0.69,0.34,0.03,0.22,1.28,0.524728528934982,0.29266961396282,0.0295588022415444,0.198850858745165,0.824175442966349
"Project CARS","2015","Racing","Bandai Namco Games",0.29,0.76,0.04,0.19,1.28,0.254642218373581,0.56531380905006,0.0392207131532813,0.173953307123438,0.824175442966349
"WWE 2K17","2016","Sports","2K Games",0.32,0.7,0,0.19,1.22,0.27763173659828,0.53062825106217,0,0.173953307123438,0.797507195884188
"Guitar Hero Live","2015","Music","Activision",0.52,0.49,0,0.2,1.21,0.418710334858185,0.398776119957368,0,0.182321556793955,0.792992515529661
"Metal Gear Solid: Ground Zeroes","2014","Action-Adventure","Konami Digital Entertainment",0.36,0.5,0.17,0.17,1.2,0.307484699747961,0.405465108108164,0.157003748809665,0.157003748809665,0.78845736036427
"Mad Max (2013)","2015","Action","Warner Bros. Interactive Entertainment",0.38,0.59,0.05,0.19,1.2,0.322083499169113,0.46373401623214,0.048790164169432,0.173953307123438,0.78845736036427
"Shadow of the Colossus","2018","Action-Adventure","Sony Interactive Entertainment",0.44,0.52,0.05,0.19,1.2,0.364643113587909,0.418710334858185,0.048790164169432,0.173953307123438,0.78845736036427
"Kingdom Hearts HD 2.8 Final Chapter Prologue","2017","Role-Playing","Square Enix",0.57,0.25,0.2,0.17,1.2,0.451075619360217,0.22314355131421,0.182321556793955,0.157003748809665,0.78845736036427
"Dragon Ball: XenoVerse","2015","Fighting","Namco Bandai Games",0.33,0.55,0.14,0.17,1.19,0.285178942233662,0.438254930931155,0.131028262406404,0.157003748809665,0.783901543828409
"LEGO Dimensions","2015","Action","Warner Bros. Interactive Entertainment",0.48,0.5,0,0.2,1.18,0.392042087776024,0.405465108108164,0,0.182321556793955,0.779324876800997
"LEGO Jurassic World","2015","Action","Warner Bros. Interactive Entertainment",0.41,0.56,0.02,0.19,1.18,0.343589704390077,0.444685821261446,0.0198026272961797,0.173953307123438,0.779324876800997
"WWE 2K15","2014","Sports","2K Sports",0.4,0.57,0,0.19,1.16,0.336472236621213,0.451075619360217,0,0.173953307123438,0.770108221696074
"MLB The Show 17","2017","Sports","Sony Interactive Entertainment",0.94,0,0,0.22,1.16,0.662687973075237,0,0,0.198850858745165,0.770108221696074
"LEGO Worlds","2017","Misc","Warner Bros. Interactive Entertainment",0.21,0.72,0.04,0.17,1.14,0.19062035960865,0.542324290825362,0.0392207131532813,0.157003748809665,0.76080582903376
"The Elder Scrolls V: Skyrim PSVR","2017","Role-Playing","Bethesda Softworks",0.47,0.47,0.01,0.19,1.13,0.385262400790645,0.385262400790645,0.00995033085316809,0.173953307123438,0.756121979721334
"LEGO Marvel Super Heroes 2","2017","Action","Warner Bros. Interactive Entertainment",0.33,0.6,0,0.18,1.11,0.285178942233662,0.470003629245736,0,0.165514438477573,0.746687947487975
"EA Sports UFC","2014","Fighting","Electronic Arts",0.49,0.43,0.01,0.18,1.11,0.398776119957368,0.357674444271816,0.00995033085316809,0.165514438477573,0.746687947487975
"Final Fantasy XII: The Zodiac Age","2017","Role-Playing","Square Enix",0.37,0.41,0.16,0.15,1.1,0.314810739840034,0.343589704390077,0.148420005118273,0.139761942375159,0.741937344729377
"Alien: Isolation","2014","Adventure","Sega",0.29,0.59,0.05,0.16,1.09,0.254642218373581,0.46373401623214,0.048790164169432,0.148420005118273,0.73716406597672
"MLB The Show 18","2018","Sports","Sony Interactive Entertainment",0.86,0,0,0.2,1.06,0.62057648772511,0,0,0.182321556793955,0.72270598280149
"The Evil Within II","2017","Action","Bethesda Softworks",0.31,0.49,0.09,0.15,1.05,0.27002713721306,0.398776119957368,0.0861776962410524,0.139761942375159,0.717839793150317
"Prey (2017)","2017","Shooter","Bethesda Softworks",0.25,0.62,0.02,0.16,1.04,0.22314355131421,0.482426149244293,0.0198026272961797,0.148420005118273,0.712949807856125
"Final Fantasy Type-0","2015","Role-Playing","Square Enix",0.4,0.33,0.16,0.15,1.04,0.336472236621213,0.285178942233662,0.148420005118273,0.139761942375159,0.712949807856125
"Ni-Oh","2017","Action","Tecmo Koei",0.34,0.36,0.2,0.14,1.03,0.29266961396282,0.307484699747961,0.182321556793955,0.131028262406404,0.708035793053696
"MLB 15: The Show","2015","Sports","Sony Computer Entertainment",0.75,0.08,0,0.19,1.01,0.559615787935423,0.0769610411361284,0,0.173953307123438,0.698134722070984
"Steep","2016","Sports","Ubisoft",0.23,0.6,0.02,0.15,1.01,0.207014169384326,0.470003629245736,0.0198026272961797,0.139761942375159,0.698134722070984
"LEGO Marvel's Avengers","2016","Action","Warner Bros. Interactive Entertainment",0.31,0.53,0.01,0.16,1.01,0.27002713721306,0.425267735404344,0.00995033085316809,0.148420005118273,0.698134722070984
